OBJECTID,Period,Start Date,End Date,ZIP Code,Service District,Quality of Life,Overall Feeling of Safety,Neighborhood Safety,City Appearance,Neighborhood Appearance,Nashville as Residence,Nashville as Place to Raise Children,Nashville as Workplace,Nashville as Place to Start/Grow Business,Nashville as Retirement Place,Metro Services - Overall,Value Received from Taxes,Elected Official Leadership,Elected Official Responsiveness,Elected Official Accessibility,Metro Transparency and Ethics,Metro Budgeting and Stewardship,Customer Service,Metro Communication,Decision Input Opportunity,Crime Prevention,Police - Overall,Fire and EMS - Overall,Streets and Sidewalks - Overall,Trash and Recycling - Overall,Public Education,Public Health - Overall,Public Library,Social Services - Overall,Economic Development - Overall,Parks and Recreation - Overall,Code Enforcement - Overall,Public Transit - Overall,Water Services - Overall,Metro-provided Arts and Culture - Overall,Affordable Housing - Overall,Historic Preservation - Overall,1st Priority Service,2nd Priority Service,3rd Priority Service,4th Priority Service,5th Priority Service,City Street Maintenance,Street Signs and Traffic Signals,Pedestrian Infrastructure,Curb Space Management,Bicycle Infrastructure,Trash Service,Curbside Recycling,Drop-off Recycling,Street Lighting,Public Works Personnel Professionalism,Police Visibility,Traffic Enforcement,Police Professionalism,Police Response Time,School Crossing Guards,School Resource Officers,Youth Violence Programs,Special Event Security,Fire Services,Fire Response Time,Emergency Medical Services (EMS),EMS Response Time,Fire Professionalism,EMS Professionalism,MTA Bus Service,Music City Circuit,AccessRide,Music City Star,Park and Ride,Bus Shelters,MTA Personnel Professionalism,Trash and Debris Enforcement,Lawn and Brush Enforcement,Exterior Maintenance Enforcement,Short-Term Rental Enforcement,STRP Complaint Hotline,Codes Personnel Professionalism,Codes Responsiveness,911 Services,Non-Emergency Number,hubNashville (311),Program Information Availability,gov,Metro Video Programming,Metro Social Media,Parks Maintenance,Outdoor Athletic Fields,Walking and Biking Trails,Swimming Pools,Community Centers,Youth Recreation Programs,Senior Recreation Programs,Parks Personnel Professionalism,Park Safety,Burial Assistance Program,Family Support Services,Homeless Services,Nutrition Programs,Head Start / Early Head Start,Low Income Home Energy Assistance Program (LIHEAP),Violent Crime Victim Services,Tap Water,Water Service Reliability,Water Emergency Response,Flood Prevention,Stormwater Fund Use,Water Services Value,Water Services Communication,Water Services Information Availability,Water Services Social Media,Water Services Employee Interaction,Crime Victim,MNPD Officer Contact,311 (hubNashville) Usage,gov Usage,Park / Community Center Usage,MTA Bus Service Usage,Bicycle Usage,Arts / Cultural Event Attendance,Public Library Usage,Metro Elected Official Contact,Public Meeting Attendance,Neighborhood Meeting Attendance,Monthly Housing Cost Over 30%,Rideshare / Bikeshare Usage,"Commute by Walking, Biking, or Bus",Affordable Housing Preference,Opioid Addiction,Neighborhood Tree Canopy,Internet Use for Information,Mobile Phone Internet Access,Home Internet Access,Natural Disaster Preparedness,$500 Emergency Expense,Healthcare Access,Healthy Food Access,Childcare Access,Pre-K Access,Public Transit Access,Park and Green Space Access,Affordable Housing Access,Diversity Support Efforts,Diversity Acceptance,Disability Access,Job Access,Neighborhood Arts and Culture,Small Business and Freelance Work Space,Farmers' Market,General Hospital,Emergency and Natural Disaster Response,No Children in Davidson County,Children Ages 0-5,Children Ages 6-13,Children Ages 14-17,Public School Attendance,Charter School Attendance,Private School Attendance,Other School Attendance,Other School Definition,School Quality,Own or Rent,Years Lived in Davidson County,Business Owner / Operator,Race / Ethnicity - White,Race / Ethnicity - Black,Race / Ethnicity - Hispanic,Race / Ethnicity - Asian or Pacific Islander,Race / Ethnicity - Native American or Alaskan Native,Race / Ethnicity - Other,Race / Ethnicity - Other Definition,Total Annual Household Income,Age,Gender Identity,Education Attained
1,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37208,Urban Services District,Neutral,Neutral,Neutral,Neutral,Satisfied,Neutral,Good,Neutral,Poor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Neutral,Don't Know,Satisfied,Neutral,Satisfied,Neutral,Neutral,Very Dissatisfied,Neutral,Affordable housing,Public education,Public health,Social services,Economic development,Very Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Very Dissatisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Satisfied,Dissatisfied,Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,No,No,,,Yes,Yes,No,No,,Yes,No,No,Yes,No,No,No,False,Yes,Yes,Yes,Yes,Yes,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Neutral,Neutral,Yes,,,,,,,,,,Rent,20,,,Yes,,,,,,,25-34,Female,High school graduate
2,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37211,Urban Services District,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Good,Good,Good,Don't Know,Good,Satisfied,Satisfied,Neutral,Don't Know,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Don't Know,Very Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Don't Know,Don't Know,Affordable housing,Public transportation,Public education,Social services,Solid waste services,Neutral,Satisfied,Very Dissatisfied,Neutral,Dissatisfied,Very Satisfied,Very Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Neutral,Neutral,Don't Know,Don't Know,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,False,Yes,Yes,Yes,Yes,Yes,Yes,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,,Yes,,,,,Yes,,,Good,Own,7,No,Yes,,,,,,,"$100,000 or more",45-54,Female,Graduate degree
3,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37208,Urban Services District,Very Satisfied,Neutral,Satisfied,Satisfied,Satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Satisfied,Satisfied,Satisfied,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Dissatisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Dissatisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Public transportation,Streets and sidewalks,Affordable housing,Historic preservation,Public health,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Neutral,Satisfied,Neutral,Satisfied,Don't Know,Don't Know,Very Dissatisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Dissatisfied,Neutral,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Very Satisfied,Don't Know,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,False,No,Yes,Yes,Yes,Yes,Yes,Satisfied,Dissatisfied,Don't Know,Don't Know,Dissatisfied,Neutral,Dissatisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Yes,,,,,,,,,,Own,10,No,Yes,,,,,,,"$30,000 to $59,999",25-34,Male,Bachelor's degree
4,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37203,Urban Services District,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Excellent,Don't Know,Excellent,Good,Don't Know,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Very Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Satisfied,Satisfied,Very Dissatisfied,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Public transportation,Police,Streets and sidewalks,Social services,Economic development,Satisfied,Satisfied,Satisfied,Neutral,Very Satisfied,Don't Know,Dissatisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Very Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Neutral,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Neutral,Very Satisfied,Dissatisfied,Very Satisfied,Neutral,Very Satisfied,Dissatisfied,Neutral,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Very Satisfied,Don't Know,Very Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,False,Yes,Yes,Yes,Yes,Yes,Yes,Satisfied,Dissatisfied,Don't Know,Don't Know,Very Dissatisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Don't Know,Very Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Yes,,,,,,,,,,Own,2,No,Yes,,,,,,,"$30,000 to $59,999",25-34,Male,Bachelor's degree
5,2018Q1,2/1/2018 12:00:00 AM,3/6/2018 12:00:00 AM,37138,General Services District,Satisfied,Satisfied,Satisfied,,Satisfied,Good,Good,Good,,Good,Satisfied,Satisfied,Satisfied,,,Neutral,,Satisfied,Satisfied,Don't Know,Don't Know,Neutral,Don't Know,Dissatisfied,Don't Know,Don't Know,,Satisfied,Don't Know,,Satisfied,,Neutral,,Neutral,,,,,,,,Dissatisfied,Neutral,,,Don't Know,Don't Know,Don't Know,Don't Know,Very Dissatisfied,,Don't Know,Don't Know,Don't Know,Don't Know,,,,,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,,Don't Know,,Don't Know,Satisfied,Dissatisfied,,Don't Know,Don't Know,Don't Know,Don't Know,,,,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,,,,,,,,,,,,,,,,,,,,No,No,No,Yes,,No,No,No,,,,No,,,,,,,Yes,Yes,Yes,,,Satisfied,Satisfied,Don't Know,Don't Know,Neutral,,,Neutral,Neutral,Neutral,,,,Neutral,Don't Know,,Yes,,,,,,,,,,Rent,34,,Yes,,,,,,,"$60,000 to $99,999",45-54,Female,
6,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37207,Urban Services District,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Excellent,Excellent,Excellent,Excellent,Excellent,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Police,Streets and sidewalks,Public transportation,Public education,Parks and recreation,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,True,Yes,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Yes,,,,,,,,,,Own,17,No,Yes,,,,,,,"$100,000 or more",35-44,Male,Bachelor's degree
7,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37207,Urban Services District,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Good,Good,Good,Good,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Very Dissatisfied,Neutral,Affordable housing,Public education,Public transportation,Public health,Economic development,Dissatisfied,Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Don't Know,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Satisfied,Neutral,Don't Know,Don't Know,Dissatisfied,Neutral,Satisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Satisfied,Neutral,Neutral,Dissatisfied,Don't Know,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Neutral,Satisfied,Don't Know,Don't Know,Dissatisfied,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,False,No,Yes,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Very Satisfied,Dissatisfied,Satisfied,Very Dissatisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Yes,,,,,,,,,,Own,43,No,Yes,,,,,,,"$30,000 to $59,999",55-64,Male,Graduate degree
8,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37206,Urban Services District,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Good,Neutral,Excellent,Good,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Neutral,Neutral,Don't Know,Don't Know,Very Satisfied,Neutral,Very Satisfied,Satisfied,Don't Know,Dissatisfied,Don't Know,Very Satisfied,Neutral,Satisfied,Public education,Police,Public transportation,Economic development,Public health,Neutral,Very Satisfied,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Satisfied,Satisfied,Don't Know,Neutral,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Very Satisfied,Don't Know,Don't Know,Don't Know,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,False,Yes,Yes,No,Yes,Yes,Yes,Satisfied,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Neutral,Very Satisfied,Very Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,,Yes,,,,,Yes,,,Good,Rent,7,No,,Yes,,,,,,"$100,000 or more",25-34,Male,Graduate degree
9,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37209,Urban Services District,Satisfied,Neutral,Satisfied,Neutral,Neutral,Good,Good,Good,Good,Good,Satisfied,Neutral,Satisfied,Don't Know,Satisfied,Don't Know,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Satisfied,Neutral,Neutral,Public education,Public transportation,Streets and sidewalks,Solid waste services,Code enforcement,Neutral,Neutral,Very Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Don't Know,Don't Know,Don't Know,Don't Know,Dissatisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,Don't Know,Don't Know,Satisfied,Satisfied,Very Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Satisfied,Neutral,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Don't Know,Don't Know,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,True,Yes,Yes,Yes,Yes,Yes,Yes,Satisfied,Satisfied,Satisfied,Don't Know,Dissatisfied,Satisfied,Don't Know,Very Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Dissatisfied,Don't Know,Satisfied,,Yes,,,,,,,,,Own,10,Yes,Yes,,,,,,,"$100,000 or more",35-44,Female,Graduate degree
10,2018Q2,6/21/2018 12:00:00 AM,7/16/2018 12:00:00 AM,37221,General Services District,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Satisfied,Good,Neutral,Neutral,Don't Know,Poor,Neutral,Dissatisfied,Neutral,Satisfied,Neutral,Dissatisfied,Neutral,Don't Know,Don't Know,Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Don't Know,Very Satisfied,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Neutral,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Historic preservation,Public transportation,Streets and sidewalks,Public education,Affordable housing,Dissatisfied,Neutral,Dissatisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Satisfied,Don't Know,Satisfied,Don't Know,Dissatisfied,Satisfied,Satisfied,Don't Know,Satisfied,Don't Know,Satisfied,Satisfied,Satisfied,Neutral,Don't Know,Don't Know,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Don't Know,Neutral,Don't Know,Satisfied,Satisfied,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Satisfied,Satisfied,Don't Know,Don't Know,Dissatisfied,Don't Know,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Don't Know,Don't Know,Dissatisfied,Satisfied,Neutral,Neutral,Neutral,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,False,Yes,Yes,Yes,Yes,No,Yes,Dissatisfied,Satisfied,Dissatisfied,Don't Know,Dissatisfied,Satisfied,Dissatisfied,Don't Know,Don't Know,Don't Know,Very Dissatisfied,Satisfied,Don't Know,Satisfied,Don't Know,Don't Know,Yes,,,,,,,,,,Own,10,No,Yes,,,,,,,"$30,000 to $59,999",25-34,Male,Graduate degree
